PENGHANTAR,KRITIKAL,TIER,KTT
TRS 150kV PESANGGARAN-CH BANDARA NGURAH RAI,tidak,1,tidak
TRS 150kV PESANGGARAN-SANUR,tidak,1,tidak
TRS 150kV PLTS BALI TIMUR-KUBU,tidak,1,tidak
TRS 150kV PLTU GRESIK-ALTAPRIMA,tidak,1,tidak
TRS 150kV PLTU GRESIK-SAMBIKEREP,tidak,,tidak
TRS 150kV PLTU GRESIK-SEGOROMADU,tidak,1,tidak
TRS 150kV PLTU PACITAN-NEW PACITAN,tidak,1,tidak
TRS 150kV RUNGKUT-SURABAYA SELATAN,tidak,5,tidak
TRS 150kV SAMPANG-PAMEKASAN,ya,7,tidak
TRS 150kV SANUR-GIANYAR,tidak,1,tidak
TRS 150kV SAWAHAN-GUNUNG SARI,ya,2,tidak
TRS 150kV SAWAHAN-KREMBANGAN,tidak,3,tidak
TRS 150kV SAWAHAN-SURABAYA BARAT,ya,1,tidak
TRS 150kV SEGOROMADU-ALTAPRIMA,tidak,2,tidak
TRS 150kV SEGOROMADU-CERME,tidak,4,tidak
TRS 150kV SEGOROMADU-PETROKIMIA,tidak,2,ya
TRS 150kV SEKARPUTIH-KERTOSONO,tidak,3,tidak
TRS 150kV SEKARPUTIH-MOJOAGUNG,tidak,3,tidak
TRS 150kV SEKARPUTIH-NGORO,ya,3,tidak
TRS 150kV SIDOARJO-NEWPORONG,tidak,6,tidak
TRS 150kV SUKOLILO-KENJERAN,tidak,4,tidak
TRS 150kV SUKOLILO-RUNGKUT,tidak,5,tidak
TRS 150kV SURABAYA BARAT-BALONGBENDO,ya,1,tidak
TRS 150kV SURABAYA BARAT-CERME,ya,1,tidak
TRS 150kV SURABAYA BARAT-DARMOGRANDE,ya,1,tidak
TRS 150kV SURABAYA SELATAN-KALISARI,tidak,6,tidak
TRS 150kV SUTAMI - KEBONAGUNG,tidak,5,tidak
TRS 150kV TANAH LOT-ANTOSARI,tidak,3,tidak
TRS 150kV TANDES-SAWAHAN,tidak,2,tidak
TRS 150kV TANGGUL-JEMBER,tidak,5,tidak
TRS 150kV TANGGUL-PUGER,tidak,5,ya
TRS 150kV TANJUNG AWAR AWAR-BABAT,tidak,1,tidak
TRS 150kV TUBAN-KEREK,ya,1,tidak
TRS 150kV UJUNG-PERAK,tidak,2,ya
TRS 150kV UJUNG-TANDES,ya,3,tidak
TRS 150kV WARU-BUDURAN,ya,4,tidak
TRS 150kV WARU-RUNGKUT,ya,4,tidak
TRS 150kV WLINGI-SUTAMI,tidak,5,tidak
TRS 25KV DOLOPO-NGEBEL,tidak,11,tidak
TRS 25KV GIRINGAN-GOLANG,tidak,12,tidak
TRS 25KV GOLANG-DOLOPO,tidak,11,tidak
TRS 500KV PAITON-JAWA POWER,tidak,1,tidak
TRS 500KV PAITON-NUSANTARA POWER,tidak,1,tidak
TRS 500KV PAITON-PAITON ENERGY,tidak,1,tidak
TRS 500kV GRATI-INDONESIA POWER,tidak,1,tidak
TRS 500kV GRATI-KRIAN,tidak,1,tidak
TRS 500kV GRESIK-KRIAN,ya,1,tidak
TRS 500kV INC UNGRN-NGBNG,ya,1,tidak
TRS 500kV KEDIRI-PEDAN,ya,1,tidak
TRS 500kV NGIMBANG-INC KRIAN,ya,1,tidak
TRS 500kV PAITON-GRATI,ya,1,tidak
TRS 500kV PAITON-KEDIRI,ya,1,tidak
TRS 500kV UNGARAN-KRIAN,tidak,1,tidak
TRS 70KV BANARAN-GUDANG GARAM,tidak,,ya
TRS 70KV BANARAN-PARE,tidak,,tidak
TRS 70KV BANARAN-TULUNGAGUNG,tidak,3,tidak
TRS 70KV BLITAR BARU-TULUNGAGUNG,tidak,11,tidak
TRS 70KV DOLOPO-PONOROGO,tidak,4,tidak
TRS 70KV KERTOSONO-NGANJUK,ya,4,tidak
TRS 70KV MANISREJO-MRANGGEN,tidak,6,tidak
TRS 70KV MRANGGEN-MAGETAN,tidak,5,tidak
TRS 70KV TRENGGALEK-PONOROGO,tidak,4,tidak
TRS 70KV WLINGI-BLITAR BARU,tidak,7,tidak
TRS 70kV BLIMBING-POLEHAN,tidak,9,tidak
TRS 70kV BUDURAN-MASPION,tidak,,ya
TRS 70kV INC PLTA TULUNGAGUNG-PLTA TULUNG AGUNG,tidak,6,tidak
TRS 70kV INC SELOREJO-SELOREJO,tidak,9,tidak
TRS 70kV INC SIMAN-SIMAN,tidak,11,tidak
TRS 70kV INC TUREN (BRANCH)-TUREN,tidak,9,tidak
TRS 70kV KARANGKATES-SENGGURUH,tidak,7,tidak
TRS 70kV KEBONAGUNG-GAMPINGAN,tidak,8,ya
TRS 70kV KERTOSONO-PLOSO,tidak,4,tidak
TRS 70kV MANYAR-MASPION SBM,tidak,5,tidak
TRS 70kV MENDALAN-SEKARPUTIH,tidak,4,tidak
TRS 70kV MENDALAN-SENGKALING,tidak,9,tidak
TRS 70kV NGANJUK-MANISREJO,tidak,4,tidak
TRS 70kV POLEHAN-KEBONAGUNG,tidak,8,tidak
TRS 70kV SEGOROMADU-BARATA,tidak,6,ya
TRS 70kV SEGOROMADU-SEMEN GRESIK,tidak,6,tidak
TRS 70kV SEKARPUTIH-AJINOMOTO,tidak,4,ya
TRS 70kV SEKARPUTIH-TJIWIKIMIA,tidak,4,ya
TRS 70kV SENGKALING-BLIMBING,tidak,9,tidak
TRS 70kV TARIK-BANGUN,tidak,5,ya
TRS 70kV TARIK-MIWON,tidak,3,tidak
TRS 70kV TARIK-SEKARPUTIH,tidak,5,tidak
TRS 70kV TULUNGAGUNG-TRENGGALEK,tidak,5,tidak
